,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
163,20,0.08453296199999993,290.0,2128.0,100,0.1,190
164,21,0.09217163900000003,290.0,2229.0,100,0.1,190
165,22,0.09583302900000001,290.0,2330.0,100,0.1,190
166,23,0.0997949170000001,290.0,2431.0,100,0.1,190
167,24,0.10339988399999989,290.0,2532.0,100,0.1,190
168,25,0.1069886069999999,290.0,2633.0,100,0.1,190
169,26,0.1105640699999999,290.0,2734.0,100,0.1,190
170,27,0.11412830799999996,290.0,2835.0,100,0.1,190
171,28,0.11768894200000002,290.0,2936.0,100,0.1,190
172,29,0.121717034,290.0,3037.0,100,0.1,190
173,30,0.1253011610000001,290.0,3138.0,100,0.1,190
174,31,0.1326283239999999,294.0,3240.0,100,0.1,190
175,32,0.13626790900000008,294.0,3341.0,100,0.1,190
176,33,0.13986423700000006,294.0,3442.0,100,0.1,190
177,34,0.14344691100000007,294.0,3543.0,100,0.1,190
178,35,0.14705026599999993,294.0,3644.0,100,0.1,190
179,36,0.15060685799999995,294.0,3745.0,100,0.1,190
180,37,0.1547109499999999,294.0,3846.0,100,0.1,190
181,38,0.158358239,294.0,3947.0,100,0.1,190
182,39,0.16205150999999995,294.0,4048.0,100,0.1,190
183,40,0.16584317399999993,294.0,4149.0,100,0.1,190
184,41,0.1729751690000001,294.0,4250.0,100,0.1,190
185,42,0.17657391899999997,301.0,4352.0,100,0.1,190
186,43,0.18025427699999996,301.0,4453.0,100,0.1,190
187,44,0.18377228200000006,301.0,4554.0,100,0.1,190
188,45,0.18801854399999995,301.0,4655.0,100,0.1,190
189,46,0.19168009100000005,301.0,4756.0,100,0.1,190
190,47,0.1953281,301.0,4857.0,100,0.1,190
191,48,0.1990800749999999,301.0,4958.0,100,0.1,190
192,49,0.20264137000000004,301.0,5059.0,100,0.1,190
193,50,0.20615322300000005,301.0,5160.0,100,0.1,190
194,51,0.2132560779999999,301.0,5261.0,100,0.1,190
195,52,0.21675574100000006,301.0,5362.0,100,0.1,190
196,53,0.22076156599999996,301.0,5463.0,100,0.1,190
197,54,0.224480848,302.0,5565.0,100,0.1,190
198,55,0.22811149899999994,302.0,5666.0,100,0.1,190
199,56,0.231956834,302.0,5767.0,100,0.1,190
200,57,0.23565292400000004,302.0,5868.0,100,0.1,190
201,58,0.23927458600000007,302.0,5969.0,100,0.1,190
202,59,0.24293697200000008,305.0,6071.0,100,0.1,190
203,60,0.24664798200000004,305.0,6172.0,100,0.1,190
204,61,0.254685767,305.0,6273.0,100,0.1,190
205,62,0.25832424099999995,305.0,6374.0,100,0.1,190
206,63,0.262080034,305.0,6475.0,100,0.1,190
207,64,0.2657841999999999,305.0,6576.0,100,0.1,190
208,65,0.2693866220000001,305.0,6677.0,100,0.1,190
209,66,0.27291605399999996,305.0,6778.0,100,0.1,190
210,67,0.27642622000000006,305.0,6879.0,100,0.1,190
211,68,0.280058626,305.0,6980.0,100,0.1,190
212,69,0.28365832699999993,305.0,7081.0,100,0.1,190
213,70,0.28746288099999995,305.0,7182.0,100,0.1,190
214,71,0.2947959419999999,305.0,7283.0,100,0.1,190
215,72,0.298572563,305.0,7384.0,100,0.1,190
