,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
154,154,7.906568855,50.0,62163.0,400,0.1,190
155,0,0.03325704500000004,65.0,800.0,800,0.1,190
156,1,0.08851639499999986,60.0,1602.0,800,0.1,190
157,2,0.13926437800000002,60.0,2403.0,800,0.1,190
158,3,0.19058343300000002,59.0,3205.0,800,0.1,190
159,4,0.2410197759999999,59.0,4006.0,800,0.1,190
160,5,0.2924972669999999,59.0,4807.0,800,0.1,190
161,6,0.342963468,59.0,5608.0,800,0.1,190
162,7,0.3936583779999998,56.0,6410.0,800,0.1,190
163,8,0.44334708700000003,56.0,7211.0,800,0.1,190
164,9,0.4945720010000001,56.0,8012.0,800,0.1,190
165,10,0.5444277319999997,56.0,8813.0,800,0.1,190
166,11,0.5987882379999998,52.0,9615.0,800,0.1,190
167,12,0.6489522510000001,52.0,10416.0,800,0.1,190
168,13,0.6996167499999999,52.0,11217.0,800,0.1,190
169,14,0.750020532,52.0,12018.0,800,0.1,190
170,15,0.801656718,52.0,12819.0,800,0.1,190
171,16,0.8526743509999999,52.0,13620.0,800,0.1,190
172,17,0.9035180790000001,52.0,14421.0,800,0.1,190
173,18,0.9542568310000001,52.0,15222.0,800,0.1,190
174,19,1.0054632389999998,52.0,16023.0,800,0.1,190
175,20,1.0552476929999999,52.0,16824.0,800,0.1,190
176,21,1.1094902789999999,52.0,17625.0,800,0.1,190
177,22,1.1604120689999997,52.0,18426.0,800,0.1,190
178,23,1.210775037,52.0,19227.0,800,0.1,190
179,24,1.2616579759999997,52.0,20028.0,800,0.1,190
180,25,1.3128102859999997,52.0,20829.0,800,0.1,190
181,26,1.3639479929999998,52.0,21630.0,800,0.1,190
182,27,1.4143704679999998,51.0,22432.0,800,0.1,190
183,28,1.465095118,51.0,23233.0,800,0.1,190
184,29,1.514818302,51.0,24034.0,800,0.1,190
185,30,1.565566298,51.0,24835.0,800,0.1,190
186,31,1.618887721,51.0,25636.0,800,0.1,190
187,32,1.6696858989999999,51.0,26437.0,800,0.1,190
188,33,1.7201007419999998,51.0,27238.0,800,0.1,190
189,34,1.770931609,51.0,28039.0,800,0.1,190
190,35,1.822296758,51.0,28840.0,800,0.1,190
191,36,1.872915588,51.0,29641.0,800,0.1,190
192,37,1.923523477,51.0,30442.0,800,0.1,190
193,38,1.9732796949999998,51.0,31243.0,800,0.1,190
194,39,2.0237604119999997,51.0,32044.0,800,0.1,190
195,40,2.074003553,51.0,32845.0,800,0.1,190
196,41,2.127722391,51.0,33646.0,800,0.1,190
197,42,2.177505438,51.0,34447.0,800,0.1,190
198,43,2.2284630119999997,51.0,35248.0,800,0.1,190
199,44,2.2789882419999996,51.0,36049.0,800,0.1,190
200,45,2.3305349289999997,50.0,36851.0,800,0.1,190
201,46,2.3805045390000004,50.0,37652.0,800,0.1,190
